NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR,Código Município Completo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK SHOPPING 01,5003401.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,402.0,8.0,5.0,5.0,SIM,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PARK SHOPPING 02,5003402.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,370.0,8.0,4.0,4.0,SIM,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PARK SHOPPING 03,5003403.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,245.0,5.0,3.0,3.0,SIM,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PARK SHOPPING 04,5003404.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,332.0,5.0,3.0,3.0,SIM,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PARK SHOPPING 05,5003405.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,210.0,4.0,3.0,3.0,SIM,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PARK SHOPPING 06,5003406.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,137.0,3.0,1.0,1.0,SIM,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PARK SHOPPING 07,5003407.0,00.779.721/0054-53,EM FUNCIONAMENTO,24/04/2021,18/11/2011,150.0,3.0,1.0,1.0,NÃO,NÃO,SIM,2100 CINEMARK PARK SHOPPING SÃO CAETANO,20449.0,EM FUNCIONAMENTO,24/04/2021,,ALAMEDA TERRACOTA,2041.0,,CERAMICA,SAO CAETANO DO SUL,09531-190,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PATIO UBERLANDIA 1,5003547.0,00.779.721/0055-34,EM FUNCIONAMENTO,27/11/2021,30/03/2012,313.0,6.0,4.0,4.0,SIM,NÃO,SIM,2101 CINEMARK SHOPPING UBERLÂNDIA,21561.0,EM FUNCIONAMENTO,27/11/2021,www.cinemark.com.br,AVENIDA PAULO GRACINDO,15.0,,MORADA DA COLINA,UBERLANDIA,38411-145,MG,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
